workout_id,workout_name,exercise_name,target_muscle,sets,reps,notes
FB_A,Full Body A,Barbell Squat,Mixed,3,8-12,Standard form
FB_A,Full Body A,Barbell Bench Press,Mixed,3,8-12,Standard form
FB_A,Full Body A,Barbell Row,Mixed,3,8-12,Standard form
FB_A,Full Body A,Overhead Press,Mixed,3,8-12,Standard form
FB_B,Full Body B,Deadlift,Mixed,3,8-12,Standard form
FB_B,Full Body B,Incline Dumbbell Press,Mixed,3,8-12,Standard form
FB_B,Full Body B,Lat Pulldown,Mixed,3,8-12,Standard form
FB_B,Full Body B,Dumbbell Lateral Raise,Mixed,3,8-12,Standard form
FB_C,Full Body C,Leg Press,Mixed,3,10-15,Standard form
FB_C,Full Body C,Chest Dip,Mixed,3,10-15,Standard form
FB_C,Full Body C,Seated Cable Row,Mixed,3,10-15,Standard form
FB_C,Full Body C,Arnold Press,Mixed,3,10-15,Standard form
UL_UP_A,Upper Power,Barbell Bench Press,Upper,4,4-6,Standard form
UL_UP_A,Upper Power,Barbell Row,Upper,4,4-6,Standard form
UL_UP_A,Upper Power,Overhead Press,Upper,4,4-6,Standard form
UL_LOW_A,Lower Power,Barbell Squat,Lower,4,4-6,Standard form
UL_LOW_A,Lower Power,Romanian Deadlift,Lower,4,4-6,Standard form
UL_LOW_A,Lower Power,Standing Calf Raise,Lower,4,4-6,Standard form
UL_UP_B,Upper Hypertrophy,Incline Dumbbell Press,Upper,3,10-12,Standard form
UL_UP_B,Upper Hypertrophy,Seated Cable Row,Upper,3,10-12,Standard form
UL_UP_B,Upper Hypertrophy,Barbell Curl,Upper,3,10-12,Standard form
UL_LOW_B,Lower Hypertrophy,Hack Squat,Lower,3,10-12,Standard form
UL_LOW_B,Lower Hypertrophy,Lying Leg Curl,Lower,3,10-12,Standard form
UL_LOW_B,Lower Hypertrophy,Seated Calf Raise,Lower,3,10-12,Standard form
BRO_CHEST,Chest Day,Barbell Bench Press,Chest,4,8-12,Standard form
BRO_CHEST,Chest Day,Incline Dumbbell Press,Chest,4,8-12,Standard form
BRO_CHEST,Chest Day,Cable Crossover,Chest,4,8-12,Standard form
BRO_BACK,Back Day,Pull-up,Back,4,8-12,Standard form
