program_id,program_name,day_number,workout_id,day_type
PROG_BRO_5,5-Day Bro Split,1,BRO_CHEST,Training
PROG_BRO_5,5-Day Bro Split,2,BRO_BACK,Training
PROG_BRO_5,5-Day Bro Split,3,BRO_LEGS,Training
PROG_BRO_5,5-Day Bro Split,4,BRO_SHOULDERS,Training
PROG_BRO_5,5-Day Bro Split,5,BRO_ARMS,Training
PROG_BRO_5,5-Day Bro Split,6,REST,Recovery
PROG_BRO_5,5-Day Bro Split,7,REST,Recovery
PROG_CALI,Calisthenics Mastery,1,CALI_PUSH,Training
PROG_CALI,Calisthenics Mastery,2,CALI_PULL,Training
PROG_CALI,Calisthenics Mastery,3,CALI_LEGS,Training
PROG_CALI,Calisthenics Mastery,4,REST,Recovery
PROG_CALI,Calisthenics Mastery,5,REST,Recovery
PROG_CALI,Calisthenics Mastery,6,REST,Recovery
PROG_CALI,Calisthenics Mastery,7,REST,Recovery
PROG_COURT,Court Athlete,1,ATH_POWER,Training
PROG_COURT,Court Athlete,2,REST,Recovery
PROG_COURT,Court Athlete,3,ATH_ENDURANCE,Training
PROG_COURT,Court Athlete,4,REST,Recovery
PROG_COURT,Court Athlete,5,ATH_POWER,Training
PROG_COURT,Court Athlete,6,REST,Recovery
PROG_COURT,Court Athlete,7,REST,Recovery
PROG_FATLOSS,Metabolic Fat Loss Circuit,1,FAT_CIRCUIT_1,Training
PROG_FATLOSS,Metabolic Fat Loss Circuit,2,REST,Recovery
PROG_FATLOSS,Metabolic Fat Loss Circuit,3,FAT_CIRCUIT_2,Training
PROG_FATLOSS,Metabolic Fat Loss Circuit,4,REST,Recovery
PROG_FATLOSS,Metabolic Fat Loss Circuit,5,FAT_CIRCUIT_1,Training
PROG_FATLOSS,Metabolic Fat Loss Circuit,6,REST,Recovery
PROG_FATLOSS,Metabolic Fat Loss Circuit,7,REST,Recovery
PROG_FB_3,3-Day Full Body,1,FB_A,Training
PROG_FB_3,3-Day Full Body,2,REST,Recovery
PROG_FB_3,3-Day Full Body,3,FB_B,Training
PROG_FB_3,3-Day Full Body,4,REST,Recovery
PROG_FB_3,3-Day Full Body,5,FB_C,Training
PROG_FB_3,3-Day Full Body,6,REST,Recovery
PROG_FB_3,3-Day Full Body,7,REST,Recovery
PROG_GLUTE,Glute & Lower Body Focus,1,REST,Recovery
PROG_GLUTE,Glute & Lower Body Focus,2,GLUTE_BUILDER_A,Training
